name,release_date,price,developers,categories,genres,pct_pos_total,pct_pos_recent,num_reviews_total
Nodebuster,2024-08-13,2.99,['Goblobin'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",Indie,97,97,10093
Gunpoint,2013-06-03,9.99,['Suspicious Developments'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Indie,97,93,10024
Tiny Glade,2024-09-23,12.74,['Pounce Light'],"['Single-player', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']",Indie,97,94,17241
Stray,2022-07-19,29.99,['BlueTwelve Studio'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV', 'Family Sharing']",Indie,97,97,136671
Celeste,2018-01-25,19.99,"['Maddy Makes Games Inc.', 'Extremely OK Games, Ltd.']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Indie,97,95,104318
Totally Accurate Battle Simulator,2021-04-01,19.99,['Landfall'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']",Indie,97,96,125031
Helltaker,2020-05-11,0.0,['vanripper'],"['Single-player', 'Steam Achievements', 'Partial Controller Support']",Indie,97,96,124116
Slime Rancher,2017-08-01,19.99,['Monomi Park'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Indie,97,98,119965
American Truck Simulator,2016-02-02,19.99,['SCS Software'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play Together', 'Family Sharing']",Indie,97,96,140493
Garry's Mod,2006-11-29,5.99,['Facepunch Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet', 'Family Sharing']",Indie,96,96,985010
WEBFISHING,2024-10-11,4.99,['lamedeveloper'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Family Sharing']",Massively Multiplayer,98,95,51704
LIZARDS MUST DIE,2023-09-27,2.99,['the Bratans'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Family Sharing']",Massively Multiplayer,96,92,22879
CarX Drift Racing Online,2017-11-17,14.99,"['CarX Technologies, LLC']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'VR Supported', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",Massively Multiplayer,95,94,76268
Super Animal Royale,2021-08-26,0.0,['Pixile'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud', 'Stats', 'Remote Play on TV']",Massively Multiplayer,93,90,41973
